"CODIGO";"DESCRIPCION";"COSTO";"ULTCOSTO";"PRECIO1";"PRECIO2";"PRECIO3";"PRECIO4";"PRECIO5";"PRECIO6";"PRECIO";"PORCENTAJE";"ULTPRECIO";"MARCA";"COLOR";"CATEGORIA";"SUBCATEGORIA";"UBICACION";"UNIDAD";"DISPONIBLE";"ENPRODUCCION";"NOTAS";"IVA";"TASA";"IMPOTROS";"IIBB";"STOCKMINIMO";"STOCKMAXIMO";"STOCKVENDIDO";"FECHACOMPULT";"LISTA";"PROCEDENCIA";"CODIGOBARRA";"RUBRO";"PROVEEDOR";"GARANTIA";"FECHA";"PEDIDO";"STOCK";"EXISTENTE";"ACTUAL";"MARCADOCONTADO";"MARCADOLISTA";"MARCADOFINAL";"PREPARADO";"CTANOMBRE";"CTATIPO";"CTAANTICIPO";"CTAIIBB";"ESTADO";"VENCE";"VENCIMIENTO";"DESLARGA";"RESERVA";"INDIVIDUAL";"MODIFICADO";"SLUG";"ENLACE";"TIPO";"DESTACADO";"VISIBLE";"REBAJADODESDE";"REBAJADOHASTA";"VIRTUAL";"DESCARGAR";"DESCARGA";"DESCARGARLIMITE";"DESCARGAREXPIRA";"URLEXTERNA";"BOTON";"ESTADOIMPUESTO";"CLASEIMPUESTO";"ESTADOSTOCK";"PESO";"DIMENSION";"CLASEENVIO";"VALORACION";"VENTADIRIGIDA";"VENTACRUZADA";"PADRE";"NOTACOMPRA";"ETIQUETA";"ATRIBUTO";"ATRIBUTOPORDEFECTO";"META";"USD"
52;"ostyn camiseta ";130;;136.5;143;149.5;156;162.5;169;260;100;;0;0;0;0;"";"c/u";0;;"";;0;0;0;;;;15/06/2019;;"";"10413";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
53;"rompe viento campera impermeable ostyn";300;;315;330;345;360;375;390;600;100;;0;0;0;0;"";"c/u";0;;"";;0;0;0;;;;15/06/2019;;"";"10430";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
54;"ostyn tapado peluche w";470;;493.5;517;540.5;564;587.5;611;940;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;15/06/2019;;"";"10433";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
55;"ostyn campera coral star";390;;409.5;429;448.5;468;487.5;507;780;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;15/06/2019;;"";"10532";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
56;"camperas de abrigo dino y lol";650;;682.5;715;747.5;780;812.5;845;1199.9;84.6;;0;0;0;0;"";"c/u";4;;"";;0;0;0;;;;18/06/2019;;"";"123654378";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
57;"osito polar";325;;341.25;357.5;373.75;390;406.25;422.5;500.175;53.9;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;18/06/2019;;"";"123456783";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
58;"zapatitos no caminante";315;;330.75;346.5;362.25;378;393.75;409.5;630;100;;0;0;0;0;"";"c/u";14;;"";;0;0;0;;;;18/06/2019;;"";"763564787";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
59;"gorro + bufanda";240;;252;264;276;288;300;312;440.16;83.4;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;22/06/2019;;"";"624895125";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
60;" the georgito BABITAS";130;;136.5;143;149.5;156;162.5;169;260;100;;0;0;0;0;"";"c/u";20;;"";;0;0;0;;;;22/06/2019;;"";"985462145";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
61;"babero bandana";75;;78.75;82.5;86.25;90;93.75;97.5;150;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;22/06/2019;;"";"958745213";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
62;"the georgito BANDANA P";110;;115.5;121;126.5;132;137.5;143;220;100;;0;0;0;0;"";"c/u";74;;"";;0;0;0;;;;22/06/2019;;"";"845632189";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
63;"the georgito TOALLON";400;;420;440;460;480;500;520;800;100;;0;0;0;0;"";"c/u";6;;"";;0;0;0;;;;22/06/2019;;"";"481657851";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
64;"";0;;0;0;0;0;0;0;0;0;;0;0;0;0;"";"c/u";;;"";;0;0;0;;;;22/06/2019;;"";"";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
65;"gamise body manga larga estampado nena";126;;132.3;138.6;144.9;151.2;157.5;163.8;252;100;;0;0;0;0;"";"c/u";4;;"";;0;0;0;;;;22/06/2019;;"";"90384601";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
66;"vestido sin manga";450;;472.5;495;517.5;540;562.5;585;900;100;;0;0;0;0;"";"c/u";5;;"";;0;0;0;;;;23/06/2019;;"";"94572162";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
67;"";0;;0;0;0;0;0;0;0;0;;0;0;0;0;"";"c/u";;;"";;0;0;0;;;;23/06/2019;;"";"";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
68;"guantes";74;;77.7;81.4;85.1;88.8;92.5;96.2;130.24;76;;0;0;0;0;"";"c/u";4;;"";;0;0;0;;;;23/06/2019;;"";"954316582";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
69;"camperas corderito NYC";270;;283.5;297;310.5;324;337.5;351;540;100;;0;0;0;0;"";"c/u";0;;"";;0;0;0;;;;23/06/2019;;"";"865478512";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
